"filename", "language", "YAML", "JSON", "Dart", "Swift", "comment", "blank", "total"
"e:\web_project2\ceyiz_diz\lib\data\models\category_model.dart", "Dart", 0, 0, 263, 0, 32, 29, 324
"e:\web_project2\ceyiz_diz\lib\data\repositories\category_repository.dart", "Dart", 0, 0, 30, 0, 2, 2, 34
"e:\web_project2\ceyiz_diz\lib\data\repositories\feedback_repository.dart", "Dart", 0, 0, 27, 0, 0, 5, 32
"e:\web_project2\ceyiz_diz\lib\l10n\app_en.arb", "JSON", 0, 0, 0, 0, 0, 1, 1
"e:\web_project2\ceyiz_diz\lib\l10n\app_tr.arb", "JSON", 0, 0, 0, 0, 0, 1, 1
"e:\web_project2\ceyiz_diz\lib\presentation\providers\auth_provider.dart", "Dart", 0, 0, 22, 0, 2, 3, 27
"e:\web_project2\ceyiz_diz\lib\presentation\providers\category_provider.dart", "Dart", 0, 0, 27, 0, 0, 1, 28
"e:\web_project2\ceyiz_diz\lib\presentation\providers\feedback_provider.dart", "Dart", 0, 0, 80, 0, 0, 11, 91
"e:\web_project2\ceyiz_diz\lib\presentation\providers\product_provider.dart", "Dart", 0, 0, 50, 0, 9, 7, 66
"e:\web_project2\ceyiz_diz\lib\presentation\router\app_router.dart", "Dart", 0, 0, 5, 0, 0, 0, 5
"e:\web_project2\ceyiz_diz\lib\presentation\screens\home\home_screen.dart", "Dart", 0, 0, 48, 0, 0, 2, 50
"e:\web_project2\ceyiz_diz\lib\presentation\screens\product\add_product_screen.dart", "Dart", 0, 0, 37, 0, 1, 0, 38
"e:\web_project2\ceyiz_diz\lib\presentation\screens\product\category_management_screen.dart", "Dart", 0, 0, 82, 0, 0, 1, 83
"e:\web_project2\ceyiz_diz\lib\presentation\screens\product\edit_product_screen.dart", "Dart", 0, 0, 37, 0, 0, 0, 37
"e:\web_project2\ceyiz_diz\lib\presentation\screens\product\product_detail_screen.dart", "Dart", 0, 0, 116, 0, 3, 0, 119
"e:\web_project2\ceyiz_diz\lib\presentation\screens\product\product_list_screen.dart", "Dart", 0, 0, 86, 0, 3, 0, 89
"e:\web_project2\ceyiz_diz\lib\presentation\screens\settings\feedback_screen.dart", "Dart", 0, 0, 106, 0, 0, 8, 114
"e:\web_project2\ceyiz_diz\lib\presentation\screens\settings\profile_screen.dart", "Dart", 0, 0, 0, 0, 0, 1, 1
"e:\web_project2\ceyiz_diz\lib\presentation\screens\trousseau\share_trousseau_screen.dart", "Dart", 0, 0, 26, 0, 0, 3, 29
"e:\web_project2\ceyiz_diz\lib\presentation\screens\trousseau\trousseau_detail_screen.dart", "Dart", 0, 0, 72, 0, 3, 0, 75
"e:\web_project2\ceyiz_diz\lib\presentation\widgets\common\draggable_fab.dart", "Dart", 0, 0, 14, 0, 1, 0, 15
"e:\web_project2\ceyiz_diz\lib\presentation\widgets\common\icon_color_picker.dart", "Dart", 0, 0, 131, 0, 1, 10, 142
"e:\web_project2\ceyiz_diz\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 2, 0, 0, 2
"e:\web_project2\ceyiz_diz\pubspec.yaml", "YAML", 1, 0, 0, 0, 0, 0, 1
"Total", "-", 1, 0, 1259, 2, 57, 85, 1404
