"filename", "language", "Dart", "comment", "blank", "total"
"e:\web_project2\ceyiz_diz\lib\core\constants\app_colors.dart", "Dart", 8, 2, 1, 11
"e:\web_project2\ceyiz_diz\lib\data\models\category_model.dart", "Dart", 8, 7, 2, 17
"e:\web_project2\ceyiz_diz\lib\data\repositories\category_repository.dart", "Dart", 13, 1, 3, 17
"e:\web_project2\ceyiz_diz\lib\presentation\providers\auth_provider.dart", "Dart", 2, 2, 4, 8
"e:\web_project2\ceyiz_diz\lib\presentation\providers\category_provider.dart", "Dart", -81, -6, -3, -90
"e:\web_project2\ceyiz_diz\lib\presentation\providers\trousseau_provider.dart", "Dart", 46, 3, 11, 60
"e:\web_project2\ceyiz_diz\lib\presentation\router\app_router.dart", "Dart", 5, 0, 0, 5
"e:\web_project2\ceyiz_diz\lib\presentation\screens\auth\login_screen.dart", "Dart", 173, 2, 6, 181
"e:\web_project2\ceyiz_diz\lib\presentation\screens\home\home_screen.dart", "Dart", 7, 1, 2, 10
"e:\web_project2\ceyiz_diz\lib\presentation\screens\home\statistics_screen.dart", "Dart", -3, 3, 2, 2
"e:\web_project2\ceyiz_diz\lib\presentation\screens\product\add_product_screen.dart", "Dart", 10, 1, 2, 13
"e:\web_project2\ceyiz_diz\lib\presentation\screens\product\edit_product_screen.dart", "Dart", 10, 1, 2, 13
"e:\web_project2\ceyiz_diz\lib\presentation\screens\trousseau\trousseau_detail_screen.dart", "Dart", 140, 1, 5, 146
"Total", "-", 338, 18, 37, 393
