"filename", "language", "JSON", "Firebase Rules", "Markdown", "Dart", "comment", "blank", "total"
"e:\web_project2\ceyiz_diz\.claude\settings.local.json", "JSON", 12, 0, 0, 0, 0, 1, 13
"e:\web_project2\ceyiz_diz\PROJE_OZETI.md", "Markdown", 0, 0, 2783, 0, 0, 351, 3134
"e:\web_project2\ceyiz_diz\firestore.indexes.json", "JSON", 8, 0, 0, 0, 0, 0, 8
"e:\web_project2\ceyiz_diz\firestore.rules", "Firebase Rules", 0, 19, 0, 0, 8, 1, 28
"e:\web_project2\ceyiz_diz\lib\data\models\feedback_model.dart", "Dart", 0, 0, 0, 58, 1, 7, 66
"e:\web_project2\ceyiz_diz\lib\data\repositories\feedback_repository.dart", "Dart", 0, 0, 0, 24, 4, 4, 32
"e:\web_project2\ceyiz_diz\lib\presentation\providers\product_provider.dart", "Dart", 0, 0, 0, 24, 5, 9, 38
"e:\web_project2\ceyiz_diz\lib\presentation\router\app_router.dart", "Dart", 0, 0, 0, 7, 0, 0, 7
"e:\web_project2\ceyiz_diz\lib\presentation\screens\home\home_screen.dart", "Dart", 0, 0, 0, 6, -1, 0, 5
"e:\web_project2\ceyiz_diz\lib\presentation\screens\home\statistics_screen.dart", "Dart", 0, 0, 0, 445, 3, 20, 468
"e:\web_project2\ceyiz_diz\lib\presentation\screens\product\product_list_screen.dart", "Dart", 0, 0, 0, 7, 1, 1, 9
"e:\web_project2\ceyiz_diz\lib\presentation\screens\settings\feedback_history_screen.dart", "Dart", 0, 0, 0, 313, 4, 17, 334
"e:\web_project2\ceyiz_diz\lib\presentation\screens\settings\feedback_screen.dart", "Dart", 0, 0, 0, 10, 0, 0, 10
"e:\web_project2\ceyiz_diz\lib\presentation\screens\trousseau\edit_trousseau_screen.dart", "Dart", 0, 0, 0, 146, 3, 8, 157
"e:\web_project2\ceyiz_diz\lib\presentation\screens\trousseau\trousseau_detail_screen.dart", "Dart", 0, 0, 0, -194, -6, -6, -206
"Total", "-", 20, 19, 2783, 846, 22, 413, 4103
