"filename", "language", "Markdown", "Dart", "comment", "blank", "total"
"e:\web_project2\ceyiz_diz\EKRAN_GUNCELLEME_OZETI.md", "Markdown", 225, 0, 0, 60, 285
"e:\web_project2\ceyiz_diz\HIZLI_GUNCELLEME_SABLONU.md", "Markdown", 354, 0, 0, 89, 443
"e:\web_project2\ceyiz_diz\YENI_TASARIM_REHBERI.md", "Markdown", 797, 0, 0, 144, 941
"e:\web_project2\ceyiz_diz\lib\core\theme\design_tokens.dart", "Dart", 0, 153, 103, 71, 327
"e:\web_project2\ceyiz_diz\lib\presentation\screens\auth\login_screen.dart", "Dart", 0, -10, 39, 18, 47
"e:\web_project2\ceyiz_diz\lib\presentation\screens\auth\register_screen.dart", "Dart", 0, 14, 42, 15, 71
"e:\web_project2\ceyiz_diz\lib\presentation\screens\home\home_screen.dart", "Dart", 0, 118, 53, 18, 189
"e:\web_project2\ceyiz_diz\lib\presentation\screens\home\statistics_screen.dart", "Dart", 0, -88, 41, 7, -40
"e:\web_project2\ceyiz_diz\lib\presentation\screens\product\add_product_screen.dart", "Dart", 0, 45, 32, 17, 94
"e:\web_project2\ceyiz_diz\lib\presentation\screens\product\edit_product_screen.dart", "Dart", 0, 101, 54, 30, 185
"e:\web_project2\ceyiz_diz\lib\presentation\screens\product\product_detail_screen.dart", "Dart", 0, 61, 25, 19, 105
"e:\web_project2\ceyiz_diz\lib\presentation\screens\product\product_list_screen.dart", "Dart", 0, -295, 17, -3, -281
"e:\web_project2\ceyiz_diz\lib\presentation\screens\settings\feedback_screen.dart", "Dart", 0, 77, 28, 13, 118
"e:\web_project2\ceyiz_diz\lib\presentation\screens\trousseau\create_trousseau_screen.dart", "Dart", 0, 16, 31, 15, 62
"e:\web_project2\ceyiz_diz\lib\presentation\screens\trousseau\edit_trousseau_screen.dart", "Dart", 0, 38, 27, 19, 84
"e:\web_project2\ceyiz_diz\lib\presentation\screens\trousseau\shared_trousseau_list_screen.dart", "Dart", 0, 37, 23, 6, 66
"e:\web_project2\ceyiz_diz\lib\presentation\screens\trousseau\trousseau_detail_screen.dart", "Dart", 0, -254, 16, 4, -234
"e:\web_project2\ceyiz_diz\lib\presentation\widgets\common\app_button.dart", "Dart", 0, 394, 47, 41, 482
"e:\web_project2\ceyiz_diz\lib\presentation\widgets\common\app_card.dart", "Dart", 0, 420, 56, 38, 514
"e:\web_project2\ceyiz_diz\lib\presentation\widgets\common\app_input.dart", "Dart", 0, 339, 28, 35, 402
"Total", "-", 1376, 1166, 662, 656, 3860
