"filename", "language", "Markdown", "JSON", "Dart", "C++", "CMake", "YAML", "HTML", "Swift", "Firebase Rules", "XML", "Batch", "Properties", "comment", "blank", "total"
"e:\web_project2\ceyiz_diz\.claude\settings.local.json", "JSON", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"e:\web_project2\ceyiz_diz\.github\workflows\build-android.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\web_project2\ceyiz_diz\EKRAN_GUNCELLEME_OZETI.md", "Markdown", 225, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 285
"e:\web_project2\ceyiz_diz\FIREBASE_VERSION_SETUP_STEPS.md", "Markdown", 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 162
"e:\web_project2\ceyiz_diz\HIZLI_GUNCELLEME_SABLONU.md", "Markdown", 354, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 443
"e:\web_project2\ceyiz_diz\PROJE_OZETI.md", "Markdown", 2783, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 351, 3134
"e:\web_project2\ceyiz_diz\README.md", "Markdown", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 61
"e:\web_project2\ceyiz_diz\YENI_TASARIM_REHBERI.md", "Markdown", 797, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 144, 941
"e:\web_project2\ceyiz_diz\analysis_options.yaml", "YAML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 22, 4, 29
"e:\web_project2\ceyiz_diz\android\README-signing.md", "Markdown", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 51
"e:\web_project2\ceyiz_diz\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"e:\web_project2\ceyiz_diz\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 14, 1, 68
