"filename", "language", "CMake", "C++", "YAML", "Swift", "Dart", "JSON", "comment", "blank", "total"
"e:\web_project2\ceyiz_diz\.claude\settings.local.json", "JSON", 0, 0, 0, 0, 0, 3, 0, 0, 3
"e:\web_project2\ceyiz_diz\lib\core\services\excel_export_service.dart", "Dart", 0, 0, 0, 0, 395, 0, 40, 78, 513
"e:\web_project2\ceyiz_diz\lib\core\services\kac_saat_calculator.dart", "Dart", 0, 0, 0, 0, 153, 0, 15, 20, 188
"e:\web_project2\ceyiz_diz\lib\core\theme\design_tokens.dart", "Dart", 0, 0, 0, 0, 4, 0, 2, 2, 8
"e:\web_project2\ceyiz_diz\lib\core\themes\design_system.dart", "Dart", 0, 0, 0, 0, 10, 0, 2, 1, 13
"e:\web_project2\ceyiz_diz\lib\core\themes\theme_provider.dart", "Dart", 0, 0, 0, 0, 13, 0, 7, 4, 24
"e:\web_project2\ceyiz_diz\lib\data\models\user_model.dart", "Dart", 0, 0, 0, 0, 15, 0, 0, 0, 15
"e:\web_project2\ceyiz_diz\lib\data\repositories\auth_repository.dart", "Dart", 0, 0, 0, 0, 1, 0, 0, 0, 1
"e:\web_project2\ceyiz_diz\lib\presentation\providers\auth_provider.dart", "Dart", 0, 0, 0, 0, 27, 0, 0, 5, 32
"e:\web_project2\ceyiz_diz\lib\presentation\screens\auth\register_screen.dart", "Dart", 0, 0, 0, 0, -1, 0, 0, 0, -1
"e:\web_project2\ceyiz_diz\lib\presentation\screens\home\home_screen.dart", "Dart", 0, 0, 0, 0, -144, 0, -34, -16, -194
"e:\web_project2\ceyiz_diz\lib\presentation\screens\home\statistics_screen.dart", "Dart", 0, 0, 0, 0, 126, 0, 6, 7, 139
"e:\web_project2\ceyiz_diz\lib\presentation\screens\product\add_product_screen.dart", "Dart", 0, 0, 0, 0, -1, 0, 0, 0, -1
"e:\web_project2\ceyiz_diz\lib\presentation\screens\product\product_detail_screen.dart", "Dart", 0, 0, 0, 0, 20, 0, 1, 1, 22
"e:\web_project2\ceyiz_diz\lib\presentation\screens\product\product_list_screen.dart", "Dart", 0, 0, 0, 0, 39, 0, 2, -1, 40
"e:\web_project2\ceyiz_diz\lib\presentation\screens\settings\kac_saat_settings_screen.dart", "Dart", 0, 0, 0, 0, 419, 0, 12, 38, 469
"e:\web_project2\ceyiz_diz\lib\presentation\screens\settings\profile_screen.dart", "Dart", 0, 0, 0, 0, -200, 0, -5, -19, -224
"e:\web_project2\ceyiz_diz\lib\presentation\screens\settings\settings_screen.dart", "Dart", 0, 0, 0, 0, 183, 0, 1, 17, 201
"e:\web_project2\ceyiz_diz\lib\presentation\screens\settings\theme_settings_screen.dart", "Dart", 0, 0, 0, 0, 10, 0, 0, 0, 10
"e:\web_project2\ceyiz_diz\lib\presentation\screens\trousseau\trousseau_detail_screen.dart", "Dart", 0, 0, 0, 0, 211, 0, 4, 11, 226
"e:\web_project2\ceyiz_diz\lib\presentation\widgets\common\app_button.dart", "Dart", 0, 0, 0, 0, 15, 0, 0, 0, 15
"e:\web_project2\ceyiz_diz\lib\presentation\widgets\common\app_card.dart", "Dart", 0, 0, 0, 0, 129, 0, 5, 10, 144
"e:\web_project2\ceyiz_diz\lib\presentation\widgets\common\app_input.dart", "Dart", 0, 0, 0, 0, 3, 0, 0, 0, 3
"e:\web_project2\ceyiz_diz\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 2, 0, 0, 0, 0, 2
"e:\web_project2\ceyiz_diz\pubspec.yaml", "YAML", 0, 0, 3, 0, 0, 0, 0, 0, 3
"e:\web_project2\ceyiz_diz\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 3, 0, 0, 0, 0, 0, 0, 3
"e:\web_project2\ceyiz_diz\windows\flutter\generated_plugins.cmake", "CMake", 1, 0, 0, 0, 0, 0, 0, 0, 1
"Total", "-", 1, 3, 3, 2, 1427, 3, 58, 158, 1655
