Date : 2025-10-18 23:57:47
Directory : e:\web_project2\ceyiz_diz
Total : 147 files,  20534 codes, 1886 comments, 2624 blanks, all 25044 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| Dart           |         80 |     16,989 |      1,604 |      1,970 |     20,563 |
| Markdown       |          4 |      1,082 |          0 |        244 |      1,326 |
| C++            |         16 |        577 |        135 |        191 |        903 |
| XML            |         12 |        498 |         56 |         13 |        567 |
| CMake          |          8 |        470 |          0 |         92 |        562 |
| JSON           |         10 |        406 |          0 |         10 |        416 |
| Batch          |          2 |        108 |          5 |         20 |        133 |
| HTML           |          2 |        102 |         23 |         11 |        136 |
| Firebase Rules |          1 |         85 |         17 |         13 |        115 |
| Shell Script   |          1 |         80 |         11 |         21 |        112 |
| Swift          |          6 |         77 |          7 |         21 |        105 |
| YAML           |          3 |         52 |         28 |         16 |         96 |
| Properties     |          2 |          8 |          0 |          2 |         10 |
+----------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                           | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                              |        147 |     20,534 |      1,886 |      2,624 |     25,044 |
| . (Files)                                                                                      |          8 |      1,332 |         45 |        264 |      1,641 |
| .claude                                                                                        |          1 |         18 |          0 |          1 |         19 |
| .github                                                                                        |          1 |          0 |          0 |          1 |          1 |
| .github\workflows                                                                              |          1 |          0 |          0 |          1 |          1 |
| android                                                                                        |         12 |        137 |         54 |         28 |        219 |
| android (Files)                                                                                |          2 |         38 |          0 |         17 |         55 |
| android\app                                                                                    |          9 |         94 |         54 |         10 |        158 |
| android\app\src                                                                                |          9 |         94 |         54 |         10 |        158 |
| android\app\src\debug                                                                          |          1 |          3 |          4 |          1 |          8 |
| android\app\src\main                                                                           |          7 |         88 |         46 |          8 |        142 |
| android\app\src\main (Files)                                                                   |          1 |         53 |         14 |          1 |         68 |
| android\app\src\main\res                                                                       |          6 |         35 |         32 |          7 |         74 |
| android\app\src\main\res\drawable                                                              |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                          |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\mipmap-anydpi-v26                                                     |          1 |          5 |          0 |          1 |          6 |
