"filename", "language", "YAML", "HTML", "Markdown", "JavaScript", "Dart", "Swift", "comment", "blank", "total"
"e:\web_project2\ceyiz_diz\CHANGELOG.md", "Markdown", 0, 0, 74, 0, 0, 0, 0, 24, 98
"e:\web_project2\ceyiz_diz\GOOGLE_SIGNIN_SETUP.md", "Markdown", 0, 0, 449, 0, 0, 0, 1, 179, 629
"e:\web_project2\ceyiz_diz\OZET.md", "Markdown", 0, 0, 149, 0, 0, 0, 0, 42, 191
"e:\web_project2\ceyiz_diz\README.md", "Markdown", 0, 0, 206, 0, 0, 0, 0, 179, 385
"e:\web_project2\ceyiz_diz\lib\core\services\excel_export_service.dart", "Dart", 0, 0, 0, 0, 153, 0, 45, 24, 222
"e:\web_project2\ceyiz_diz\lib\core\utils\image_optimization_utils.dart", "Dart", 0, 0, 0, 0, 46, 0, 57, 22, 125
"e:\web_project2\ceyiz_diz\lib\data\repositories\auth_repository.dart", "Dart", 0, 0, 0, 0, 38, 0, 13, 9, 60
"e:\web_project2\ceyiz_diz\lib\presentation\providers\auth_provider.dart", "Dart", 0, 0, 0, 0, 88, 0, 6, 16, 110
"e:\web_project2\ceyiz_diz\lib\presentation\screens\auth\login_screen.dart", "Dart", 0, 0, 0, 0, 74, 0, 13, 12, 99
"e:\web_project2\ceyiz_diz\lib\presentation\screens\auth\register_screen.dart", "Dart", 0, 0, 0, 0, 121, 0, 14, 16, 151
"e:\web_project2\ceyiz_diz\lib\presentation\screens\home\statistics_screen.dart", "Dart", 0, 0, 0, 0, 689, 0, 42, 55, 786
"e:\web_project2\ceyiz_diz\lib\presentation\screens\onboarding\onboarding_screen.dart", "Dart", 0, 0, 0, 0, 118, 0, 2, 6, 126
"e:\web_project2\ceyiz_diz\lib\presentation\screens\product\edit_product_screen.dart", "Dart", 0, 0, 0, 0, 22, 0, 13, 15, 50
"e:\web_project2\ceyiz_diz\lib\presentation\screens\product\product_detail_screen.dart", "Dart", 0, 0, 0, 0, 32, 0, 13, 14, 59
"e:\web_project2\ceyiz_diz\lib\presentation\screens\settings\settings_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 2, 0, 2
"e:\web_project2\ceyiz_diz\lib\presentation\screens\trousseau\edit_trousseau_screen.dart", "Dart", 0, 0, 0, 0, 1, 0, 0, 1, 2
"e:\web_project2\ceyiz_diz\lib\presentation\widgets\common\app_card.dart", "Dart", 0, 0, 0, 0, 32, 0, 13, 14, 59
"e:\web_project2\ceyiz_diz\lib\presentation\widgets\common\fullscreen_image_viewer.dart", "Dart", 0, 0, 0, 0, 1, 0, 4, 0, 5
"e:\web_project2\ceyiz_diz\lib\presentation\widgets\common\image_picker_widget.dart", "Dart", 0, 0, 0, 0, 5, 0, 2, 0, 7
"e:\web_project2\ceyiz_diz\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 2, 0, 0, 2
"e:\web_project2\ceyiz_diz\pubspec.yaml", "YAML", 1, 0, 0, 0, 0, 0, 0, 0, 1
"e:\web_project2\ceyiz_diz\scripts\batch_resize_function.js", "JavaScript", 0, 0, 0, 37, 0, 0, 7, 9, 53
"e:\web_project2\ceyiz_diz\web\index.html", "HTML", 0, 1, 0, 0, 0, 0, 1, 1, 3
"Total", "-", 1, 1, 878, 37, 1420, 2, 248, 638, 3225
